"carat","cut","color","clarity","depth","table","price","x","y","z"
1.2,"Ideal","J","VS2",61.8,55,5318,6.84,6.86,4.23
0.7,"Ideal","E","VS2",61.9,58,2952,5.7,5.73,3.54
1.22,"Good","I","VS1",59.2,61,6713,7.01,6.95,4.13
0.61,"Ideal","I","SI2",61.1,57,1401,5.46,5.49,3.34
0.36,"Ideal","G","VVS1",62.8,57,1053,4.55,4.52,2.85
0.93,"Premium","I","VS2",62.7,61,4073,6.24,6.14,3.88
0.55,"Very Good","E","VS2",62.1,60,1744,5.19,5.24,3.24
0.7,"Fair","I","VS2",64.7,60,2117,5.55,5.49,3.57
0.3,"Ideal","E","IF",60.9,56,1120,4.31,4.33,2.63
1.07,"Premium","G","VS2",62.1,58,6355,6.55,6.59,4.08
0.32,"Ideal","E","IF",60.6,60,1004,4.43,4.45,2.69
0.71,"Very Good","D","VS1",62.9,56,3465,5.65,5.7,3.57
1.08,"Premium","G","VS1",62.9,55,6982,6.6,6.53,4.13
0.82,"Ideal","G","SI1",61.8,55,3133,6.02,6.05,3.73
0.31,"Very Good","G","VS2",60.9,57,559,4.37,4.39,2.67
1.36,"Very Good","F","SI1",62.8,53,6597,7.05,7.1,4.45
0.51,"Very Good","J","VS2",63.1,56,1080,5.13,5.1,3.23
0.55,"Ideal","D","VS1",61.3,56,2251,5.28,5.32,3.25
2,"Fair","I","SI2",65.9,57,10833,7.96,7.79,5.19
1.11,"Premium","F","VS1",62.8,56,7310,6.62,6.57,4.14
1,"Fair","D","VVS2",61.1,57,10562,6.37,6.3,3.87
1,"Fair","G","SI1",67.7,57,3631,6,6.15,4.11
0.34,"Ideal","E","VVS2",60.9,56,838,4.52,4.54,2.76
1,"Good","D","SI2",64.3,59,4065,6.21,6.3,4.02
0.41,"Good","F","SI1",63.5,56,705,4.7,4.75,3
1.24,"Very Good","F","VVS2",59,58,11234,6.98,7.03,4.13
0.44,"Very Good","G","SI1",61.6,61,772,4.83,4.88,2.99
1.56,"Ideal","I","VVS2",62,56,10481,7.39,7.42,4.6
0.83,"Ideal","D","SI1",61.5,53,3933,6.09,6.07,3.74
0.51,"Ideal","D","SI1",61.8,55,1569,5.14,5.18,3.19
0.3,"Ideal","E","VVS2",62.2,54.4,779,4.3,4.32,2.68
1.02,"Premium","E","VS2",62.8,59,5666,6.44,6.39,4.03
0.33,"Premium","I","VS2",61.1,59,594,4.44,4.4,2.7
0.53,"Premium","H","VS2",59.1,59,1356,5.33,5.26,3.13
0.7,"Fair","G","SI2",58.6,56,2208,5.8,5.74,3.38
0.28,"Ideal","F","VS1",62,53,665,4.23,4.26,2.63
0.9,"Good","D","SI1",63.2,62,4068,6.06,6.13,3.85
0.3,"Ideal","D","VS2",60.8,57,911,4.38,4.33,2.65
0.39,"Premium","G","VS2",62.4,56,1009,4.68,4.64,2.91
0.7,"Very Good","F","VVS1",63,60,3261,5.59,5.62,3.53
2.09,"Premium","H","SI1",60.5,61,12063,8.32,8.25,5.01
1.08,"Very Good","H","SI1",63.4,57,5286,6.54,6.51,4.14
0.93,"Ideal","E","SI1",62.2,55,4374,6.24,6.27,3.89
1,"Premium","E","SI2",61,62,4200,6.41,6.34,3.89
0.34,"Ideal","G","IF",61.9,54,1014,4.46,4.49,2.77
0.4,"Ideal","G","SI1",60.9,55,873,4.82,4.79,2.93
0.37,"Premium","I","VS2",61.6,60,666,4.61,4.58,2.83
0.38,"Ideal","G","VVS1",59.7,60,979,4.71,4.74,2.82
