date,revenue,company
2024-01-01,12400.50,Acme
2024-01-01,9800.00,Globex
2024-01-01,7600.25,Initech
2024-02-01,15800.00,Acme
2024-02-01,11200.50,Globex
2024-02-01,8400.00,Initech
2024-03-01,13200.75,Acme
2024-03-01,12800.00,Globex
2024-03-01,9100.50,Initech
2024-04-01,17900.25,Acme
2024-04-01,14200.75,Globex
2024-04-01,10200.00,Initech
2024-05-01,21000.00,Acme
2024-05-01,16800.50,Globex
2024-05-01,11800.25,Initech
2024-06-01,19500.50,Acme
2024-06-01,18200.00,Globex
2024-06-01,13400.75,Initech
2024-07-01,23400.00,Acme
2024-07-01,20100.25,Globex
2024-07-01,15200.50,Initech
2024-08-01,22100.75,Acme
2024-08-01,21800.00,Globex
2024-08-01,16800.00,Initech
2024-09-01,25800.00,Acme
2024-09-01,23400.50,Globex
2024-09-01,18200.25,Initech
2024-10-01,27300.50,Acme
2024-10-01,25800.75,Globex
2024-10-01,20100.00,Initech
2024-11-01,31000.00,Acme
2024-11-01,28200.00,Globex
2024-11-01,22800.50,Initech
2024-12-01,35400.25,Acme
2024-12-01,31600.50,Globex
2024-12-01,26400.75,Initech
